qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,qcovs
AMP_0033,MNG08340.1,70,40,12,0,5,44,35,74,5.18e-09,53.5,75
AMP_0033,MNJ56419.1,64.286,42,15,0,5,46,35,76,1.56e-08,52,73.81
AMP_0033,MNN58390.1,65.854,41,14,0,6,46,36,76,3.67e-08,50.4,73.17
AMP_0033,MNE71052.1,65.854,41,14,0,6,46,36,76,3.93e-08,51.2,73.17
AMP_0033,CAB4765477.1,64.865,37,13,0,6,42,1,37,3.52e-07,46.6,72.97
AMP_0033,MNI64648.1,60.976,41,16,0,6,46,36,76,4.16e-07,47.8,70.73
AMP_0033,SVC12107.1,63.889,36,13,0,6,41,1,36,2.16e-06,44.7,75
AMP_0033,ETJ19659.1,64.865,37,13,0,6,42,1,37,2.26e-06,44.7,70.27
AMP_0034,EBG22252.1,84.615,39,6,0,1,39,116,154,3.27e-16,72,94.87
AMP_0034,MNZ95619.1,79.487,39,8,0,1,39,25,63,4.39e-14,64.3,82.05
AMP_0034,MNI61191.1,79.487,39,8,0,1,39,25,63,5.07e-14,64.3,84.62
AMP_0034,MNX67484.1,76.923,39,9,0,1,39,25,63,3.50e-13,62,82.05
AMP_0034,MNC24289.1,74.359,39,10,0,1,39,31,69,5.57e-13,61.6,82.05
AMP_0034,MNR65485.1,74.359,39,10,0,1,39,25,63,5.92e-13,61.6,82.05
AMP_0034,MNI25568.1,74.359,39,10,0,1,39,44,82,7.26e-13,61.6,82.05
AMP_0034,SVB16136.1,74.359,39,10,0,1,39,25,63,4.98e-12,59.3,79.49
AMP_0034,MNE09530.1,71.795,39,11,0,1,39,31,69,5.76e-12,59.3,79.49
AMP_0034,VAW73173.1,82.353,34,6,0,6,39,44,77,1.38e-11,58.5,82.35
AMP_0034,EBF85000.1,69.231,39,12,0,1,39,89,127,7.06e-11,57.8,79.49
AMP_0034,EBY45737.1,65.789,38,13,0,2,39,37,74,7.24e-11,56.6,73.68
AMP_0034,ETJ19881.1,71.053,38,11,0,2,39,36,73,3.28e-10,54.7,76.32
AMP_0034,ECA30446.1,73.529,34,9,0,1,34,29,62,4.63e-09,51.6,76.47
AMP_0034,EBZ30154.1,68.421,38,12,0,1,38,25,62,2.70e-08,49.7,73.68
AMP_0034,SVA69110.1,74.194,31,8,0,6,36,30,60,4.19e-08,49.3,80.65
AMP_0034,ECV54369.1,70.588,34,10,0,1,34,121,154,4.49e-08,51.2,76.47
AMP_0034,SVE40711.1,70.588,34,10,0,1,34,41,74,5.21e-08,49.7,82.35
AMP_0034,ECI50267.1,79.31,29,6,0,1,29,62,90,7.88e-08,49.3,82.76
AMP_0034,KKK79560.1,73.333,30,8,0,10,39,43,72,1.78e-07,47.8,83.33
AMP_0034,EBF71370.1,76.667,30,7,0,1,30,41,70,6.39e-07,46.6,83.33
AMP_0034,SVD00820.1,56.41,39,17,0,1,39,25,63,7.75e-07,46.2,64.1
AMP_0034,EDJ09216.1,59.459,37,15,0,3,39,137,173,3.43e-06,46.6,70.27
AMP_0034,SVA99445.1,62.5,32,12,0,2,33,26,57,4.28e-05,41.6,71.88
AMP_0034,EBP53572.1,65.517,29,10,0,6,34,167,195,3.38e-04,41.2,75.86
AMP_0034,EBU52140.1,70.37,27,8,0,1,27,65,91,8.14e-04,38.9,77.78
AMP_0034,SUZ91065.1,60,30,12,0,10,39,36,65,0.002,37.4,66.67
AMP_0034,ECK71567.1,72,25,7,0,1,25,33,57,0.003,37,80
AMP_0034,EBK08930.1,61.538,26,10,0,5,30,47,72,0.004,36.6,73.08
AMP_0034,ECW97987.1,61.538,26,10,0,5,30,59,84,0.006,36.6,73.08
AMP_0034,SVD56124.1,78.947,19,4,0,17,35,42,60,0.011,35.4,84.21
AMP_0034,ECT99871.1,71.429,21,6,0,10,30,42,62,0.014,35.4,76.19
AMP_0034,SVC42329.1,65.217,23,8,0,12,34,4,26,0.016,34.7,73.91
AMP_0034,KKK53386.1,61.538,26,10,0,9,34,33,58,0.027,35.4,73.08
AMP_0034,EBJ34349.1,60,25,10,0,5,29,55,79,0.032,34.7,72
AMP_0034,SVA52540.1,64,25,9,0,10,34,41,65,0.034,34.7,68
AMP_0038,MNI64648.1,63.636,33,12,0,1,33,45,77,2.98e-05,42.4,72.73
AMP_0038,MNC54461.1,63.636,33,12,0,1,33,45,77,7.03e-05,42,72.73
AMP_0038,MNJ56419.1,63.636,33,12,0,1,33,45,77,7.82e-05,42,72.73
AMP_0038,MNN58390.1,63.636,33,12,0,1,33,45,77,8.57e-05,41.2,72.73
AMP_0038,MNE71052.1,63.636,33,12,0,1,33,45,77,1.60e-04,41.2,72.73
AMP_0038,MNG08340.1,74.074,27,7,0,1,27,45,71,4.33e-04,40,77.78
AMP_0038,SVC12107.1,66.667,27,9,0,1,27,10,36,0.001,37,77.78
AMP_0038,ETJ19659.1,66.667,27,9,0,1,27,10,36,0.006,35.4,70.37
AMP_0038,SUZ85940.1,70.833,24,7,0,5,28,2,25,0.013,34.3,75
AMP_0044,SVC53184.1,60.606,33,13,0,1,33,12,44,1.19e-04,39.7,66.67
AMP_0049,CAN5551721.1,68.182,22,7,0,3,24,445,466,0.002,38.9,90.91
AMP_0049,CAN5886521.1,63.636,22,8,0,3,24,445,466,0.007,37,90.91
AMP_0055,VFR18156.1,52.381,42,20,0,1,42,531,572,2.98e-07,50.4,61.9
AMP_0055,VFR28002.1,52.381,42,20,0,1,42,531,572,2.98e-07,50.4,61.9
AMP_0055,VFR16128.1,52.381,42,20,0,1,42,531,572,3.13e-07,50.4,61.9
AMP_0055,VFR52842.1,52.381,42,20,0,1,42,531,572,3.25e-07,50.1,61.9
AMP_0055,VFR77320.1,52.381,42,20,0,1,42,531,572,3.42e-07,50.1,61.9
AMP_0055,MCY1530117.1,54.762,42,17,1,3,42,111,152,4.52e-07,48.9,69.05
AMP_0055,MNR58935.1,60,35,14,0,1,35,8,42,5.87e-07,46.2,62.86
AMP_0055,MCY1198143.1,54.762,42,17,1,3,42,533,574,6.40e-07,49.3,69.05
AMP_0055,MNI67193.1,52.381,42,18,1,3,42,32,73,7.61e-07,46.6,66.67
AMP_0055,MNC89929.1,55.556,36,16,0,1,36,26,61,9.78e-07,46.2,69.44
AMP_0055,MCY1457404.1,52.381,42,18,1,3,42,54,95,2.28e-06,45.8,66.67
AMP_0055,MNN51801.1,52.381,42,18,1,3,42,116,157,2.40e-06,47,66.67
AMP_0055,MNT38275.1,52.381,42,18,1,3,42,156,197,2.42e-06,47.4,66.67
AMP_0055,MOA01248.1,52.381,42,18,1,3,42,73,114,2.72e-06,46.2,66.67
AMP_0055,MNQ28279.1,52.381,42,18,1,3,42,533,574,2.89e-06,47.4,66.67
AMP_0055,MNS34469.1,52.381,42,18,1,3,42,533,574,2.89e-06,47.4,66.67
AMP_0055,MNK26036.1,52.381,42,18,1,3,42,533,574,3.10e-06,47.4,66.67
AMP_0055,MPN48263.1,54.545,33,15,0,1,33,26,58,4.57e-06,44.3,72.73
AMP_0055,MNS99545.1,60,35,14,0,1,35,276,310,8.23e-06,46.2,62.86
AMP_0055,MNC92882.1,52.778,36,17,0,1,36,7,42,8.53e-06,43.5,66.67
AMP_0055,ECV11058.1,58.537,41,14,1,2,42,651,688,3.40e-05,44.7,60.98
AMP_0055,CAG7856717.1,58.824,34,14,0,1,34,543,576,4.84e-05,43.9,73.53
AMP_0055,VAW41330.1,66.667,30,10,0,2,31,525,554,5.60e-05,43.9,70
AMP_0055,MNC97942.1,45,40,22,0,2,41,10,49,6.23e-05,41.6,67.5
AMP_0055,OIR18364.1,57.143,35,15,0,2,36,531,565,1.84e-04,42.4,62.86
AMP_0055,EBR60129.1,51.429,35,17,0,4,38,90,124,2.01e-04,41.6,71.43
AMP_0055,OIR11793.1,57.143,35,15,0,2,36,531,565,2.17e-04,42.4,62.86
AMP_0055,OIR19268.1,54.286,35,16,0,2,36,530,564,5.21e-04,41.2,62.86
AMP_0055,VAW91846.1,50,40,20,0,4,43,528,567,6.41e-04,40.8,60
AMP_0055,VAW51589.1,53.571,28,13,0,4,31,546,573,7.88e-04,40.8,78.57
AMP_0055,OIQ67275.1,51.282,39,19,0,1,39,67,105,8.40e-04,39.7,61.54
AMP_0055,CAN5633022.1,50,36,18,0,3,38,232,267,0.001,40.4,72.22
AMP_0055,EBE03850.1,44.737,38,21,0,2,39,196,233,0.001,40.4,57.89
AMP_0055,ECC16912.1,56.667,30,13,0,3,32,28,57,0.001,38.5,66.67
AMP_0055,MCY1363141.1,44.444,36,20,0,1,36,17,52,0.001,38.5,61.11
AMP_0055,MNS62830.1,48.485,33,17,0,4,36,39,71,0.001,38.5,63.64
AMP_0055,ECM18403.1,56.667,30,13,0,4,33,73,102,0.002,38.9,73.33
AMP_0055,MNL62603.1,44.444,36,20,0,1,36,51,86,0.003,38.1,61.11
AMP_0055,CAI8350461.1,47.059,34,17,1,4,36,529,562,0.003,39.3,70.59
AMP_0055,VAX11966.1,57.692,26,11,0,4,29,538,563,0.003,38.9,80.77
AMP_0055,CAB5020754.1,51.724,29,14,0,3,31,2,30,0.003,38.1,75.86
AMP_0055,MCY1250418.1,51.613,31,15,0,4,34,51,81,0.004,37.4,67.74
AMP_0055,CAN5779945.1,51.429,35,17,0,4,38,540,574,0.004,38.5,62.86
AMP_0055,MCY1218273.1,44.444,36,20,0,1,36,550,585,0.004,38.5,61.11
AMP_0055,MCY1291674.1,44.444,36,20,0,1,36,454,489,0.004,38.5,61.11
AMP_0055,MCY1239280.1,44.444,36,20,0,1,36,123,158,0.005,38.1,61.11
AMP_0055,ECL06104.1,50,28,14,0,4,31,40,67,0.005,36.6,75
AMP_0055,CAB4959574.1,51.724,29,14,0,3,31,623,651,0.005,38.5,75.86
AMP_0055,CAB4787162.1,51.724,29,14,0,3,31,623,651,0.005,38.5,75.86
AMP_0055,KKK61995.1,53.571,28,13,0,6,33,82,109,0.005,37.7,71.43
AMP_0055,MNS78774.1,44.444,36,20,0,1,36,288,323,0.005,38.5,61.11
AMP_0055,MNR06904.1,48.485,33,17,0,4,36,126,158,0.005,38.1,63.64
AMP_0055,EDA47687.1,46.154,39,21,0,4,42,541,579,0.005,38.1,56.41
AMP_0055,VAW99194.1,54.545,33,11,1,4,36,531,559,0.006,38.1,66.67
AMP_0055,CAB4978395.1,51.724,29,14,0,3,31,562,590,0.006,38.1,75.86
AMP_0055,CAN5917168.1,46.154,39,21,0,1,39,558,596,0.006,38.1,61.54
AMP_0055,VAX01838.1,61.538,26,10,0,4,29,534,559,0.006,38.1,76.92
AMP_0055,EDH69342.1,61.538,26,10,0,2,27,531,556,0.006,38.1,73.08
AMP_0055,MNL00979.1,48.485,33,17,0,4,36,165,197,0.006,38.1,63.64
AMP_0055,MNC48764.1,48.571,35,18,0,4,38,141,175,0.006,37.7,62.86
AMP_0055,VAW87609.1,48.571,35,18,0,4,38,527,561,0.007,38.1,62.86
AMP_0055,EDA41746.1,60.714,28,11,0,2,29,553,580,0.007,38.1,71.43
AMP_0055,MNM90951.1,48.485,33,17,0,4,36,244,276,0.007,38.1,63.64
AMP_0055,CAB4848914.1,58.621,29,12,0,2,30,525,553,0.007,38.1,75.86
AMP_0055,ECU99116.1,61.538,26,10,0,4,29,541,566,0.007,38.1,73.08
AMP_0055,ECV01241.1,61.538,26,10,0,4,29,541,566,0.007,38.1,73.08
AMP_0055,MND29908.1,53.333,30,14,0,4,33,572,601,0.008,37.7,70
AMP_0055,MCY1181279.1,53.333,30,14,0,4,33,72,101,0.008,37,70
AMP_0055,CAB4669757.1,51.724,29,14,0,3,31,230,258,0.008,37.7,75.86
AMP_0055,KKO02025.1,43.59,39,21,1,4,42,531,568,0.008,37.7,64.1
AMP_0055,CAB4670064.1,51.724,29,14,0,3,31,230,258,0.008,37.7,75.86
AMP_0055,VAW68961.1,55.556,27,12,0,4,30,527,553,0.009,37.7,74.07
AMP_0055,EBO37827.1,54.545,33,15,0,4,36,224,256,0.009,37.7,60.61
AMP_0055,CAB5026855.1,51.724,29,14,0,3,31,143,171,0.009,37.7,75.86
AMP_0055,KKN00482.1,50,32,16,0,4,35,527,558,0.009,37.7,65.62
AMP_0055,EQD59115.1,57.692,26,11,0,4,29,536,561,0.009,37.7,80.77
AMP_0055,EQD68452.1,57.692,26,11,0,4,29,532,557,0.01,37.7,80.77
AMP_0055,CUS40082.1,50,32,16,0,4,35,532,563,0.01,37.7,65.62
AMP_0055,ECW49057.1,57.692,26,11,0,4,29,538,563,0.01,37.7,73.08
AMP_0055,CAN5776509.1,51.429,35,17,0,4,38,552,586,0.01,37.4,60
AMP_0055,ECR06432.1,47.5,40,20,1,2,40,241,280,0.011,37.4,62.5
AMP_0055,VAW61122.1,55.556,27,12,0,4,30,532,558,0.011,37.4,74.07
AMP_0055,VAX11569.1,57.692,26,11,0,4,29,531,556,0.011,37.4,76.92
AMP_0055,MNY74977.1,51.852,27,13,0,1,27,24,50,0.012,35.8,70.37
AMP_0055,VAW56755.1,57.692,26,11,0,4,29,527,552,0.013,37.4,76.92
AMP_0055,VAW86420.1,43.902,41,23,0,3,43,525,565,0.013,37.4,58.54
AMP_0055,EBB51516.1,51.515,33,16,0,4,36,200,232,0.014,37.4,60.61
AMP_0055,VAW55486.1,40.909,44,22,1,4,43,523,566,0.014,37.4,63.64
AMP_0055,VAX08780.1,51.724,29,14,0,1,29,543,571,0.015,37,72.41
AMP_0055,MCY1382871.1,53.333,30,13,1,1,29,16,45,0.016,35.4,73.33
AMP_0055,ECG20260.1,59.259,27,11,0,4,30,24,50,0.017,35.4,77.78
AMP_0055,EBO47338.1,55.172,29,13,0,2,30,39,67,0.017,35.4,72.41
AMP_0055,EDH20046.1,41.026,39,23,0,4,42,520,558,0.018,37,58.97
AMP_0055,MNP83973.1,50,28,14,0,3,30,15,42,0.02,35,60.71
AMP_0055,CAN5299700.1,51.429,35,13,1,4,38,525,555,0.021,36.6,65.71
AMP_0055,CAB4331056.1,58.621,29,12,0,2,30,546,574,0.021,36.6,68.97
AMP_0055,EBY86332.1,46.429,28,15,0,4,31,25,52,0.023,35,71.43
AMP_0055,SVD07325.1,48.718,39,17,1,4,39,175,213,0.026,36.2,64.1
AMP_0055,KKN69075.1,48.276,29,15,0,4,32,565,593,0.026,36.6,65.52
AMP_0055,MNY84227.1,60,30,11,1,1,29,534,563,0.027,36.2,73.33
AMP_0056,ETJ19659.1,85.185,27,4,0,1,27,15,41,2.37e-06,43.9,85.19
AMP_0056,CAB4765477.1,82.609,23,4,0,1,23,15,37,0.003,35.8,82.61
AMP_0056,SUZ67153.1,71.429,28,8,0,1,28,3,30,0.004,35.4,75
AMP_0063,MNN58390.1,63.636,33,12,0,1,33,45,77,7.45e-05,41.2,75.76
AMP_0063,MNG08340.1,63.636,33,12,0,1,33,45,77,4.20e-04,40,72.73
AMP_0063,MNE71052.1,63.636,33,12,0,1,33,45,77,5.83e-04,39.7,75.76
AMP_0063,MNJ56419.1,60.606,33,13,0,1,33,45,77,0.005,37.4,75.76
AMP_0063,MNI64648.1,60.606,33,13,0,1,33,45,77,0.005,36.6,72.73
AMP_0063,MNC54461.1,60.606,33,13,0,1,33,45,77,0.017,35.8,72.73
AMP_0063,SVC12107.1,66.667,27,9,0,1,27,10,36,0.024,33.9,74.07
AMP_0069,SVC53184.1,54.545,33,15,0,1,33,12,44,2.14e-04,39.3,75.76
AMP_0069,ETJ19659.1,58.065,31,13,0,2,32,11,41,0.006,35.8,74.19
AMP_0073,MNJ56419.1,60.465,43,17,0,1,43,45,87,6.45e-07,47.8,72.09
AMP_0073,MNE71052.1,60.465,43,17,0,1,43,45,87,7.75e-06,45.1,69.77
AMP_0073,MNN58390.1,60.465,43,17,0,1,43,45,87,1.25e-05,43.9,69.77
AMP_0073,MNG08340.1,60.465,43,17,0,1,43,45,87,2.21e-05,43.9,67.44
AMP_0073,ETJ19659.1,64.516,31,11,0,1,31,10,40,0.002,37.4,70.97
AMP_0074,SVA64660.1,75,28,7,0,1,28,37,64,5.85e-06,43.1,85.71
AMP_0074,CAB4765477.1,71.429,28,8,0,1,28,10,37,7.70e-05,40,78.57
AMP_0074,MNN58390.1,71.429,28,8,0,1,28,45,72,1.52e-04,40.4,78.57
AMP_0074,MNJ56419.1,71.429,28,8,0,1,28,45,72,2.69e-04,40.4,78.57
AMP_0074,MNE71052.1,71.429,28,8,0,1,28,45,72,4.07e-04,39.7,78.57
AMP_0074,MNC54461.1,71.429,28,8,0,1,28,45,72,4.98e-04,39.7,78.57
AMP_0074,MNG08340.1,71.429,28,8,0,1,28,45,72,4.98e-04,39.7,78.57
AMP_0074,MNI64648.1,67.857,28,9,0,1,28,45,72,5.84e-04,38.5,75
AMP_0074,SVC12107.1,66.667,27,9,0,1,27,10,36,0.016,33.9,74.07
AMP_0081,MNU13493.1,50,42,21,0,1,42,284,325,1.79e-07,50.8,66.67
AMP_0081,MPL55564.1,54.762,42,19,0,1,42,279,320,1.89e-07,50.8,71.43
AMP_0081,MNK27424.1,50,42,21,0,1,42,279,320,2.48e-05,44.7,66.67
AMP_0081,MNS47810.1,48.649,37,19,0,2,38,21,57,4.31e-05,42,72.97
AMP_0081,MNQ74352.1,48.649,37,19,0,2,38,281,317,5.65e-04,41.2,72.97
AMP_0081,MNK77610.1,48.649,37,19,0,2,38,281,317,5.71e-04,40.8,72.97
AMP_0081,MNQ54533.1,45.946,37,20,0,2,38,281,317,0.001,40,75.68
AMP_0081,MNQ29700.1,46.341,41,22,0,2,42,280,320,0.008,37.7,60.98
AMP_0081,MNX46899.1,46.341,41,22,0,2,42,280,320,0.009,37.7,60.98
AMP_0081,MNR97774.1,46.341,41,22,0,2,42,280,320,0.009,37.7,60.98
AMP_0081,VAW25649.1,47.5,40,21,0,3,42,283,322,0.022,36.6,62.5
AMP_0085,MNI61191.1,93.548,31,2,0,1,31,19,49,2.08e-12,59.7,93.55
AMP_0085,MNX67484.1,93.548,31,2,0,1,31,19,49,2.40e-12,59.7,93.55
AMP_0085,EBF71370.1,83.871,31,5,0,1,31,35,65,1.84e-10,55.1,93.55
AMP_0085,MNR65485.1,80.645,31,6,0,1,31,19,49,3.53e-10,53.9,87.1
AMP_0085,MNC24289.1,80.645,31,6,0,1,31,25,55,3.76e-10,54.3,87.1
AMP_0085,MNE09530.1,80.645,31,6,0,1,31,25,55,5.06e-10,53.9,87.1
AMP_0085,MNI25568.1,80.645,31,6,0,1,31,38,68,5.64e-10,53.9,87.1
AMP_0085,MNZ95619.1,80.645,31,6,0,1,31,19,49,2.00e-09,52.4,83.87
AMP_0085,EBF85000.1,74.194,31,8,0,1,31,83,113,2.25e-09,53.5,83.87
AMP_0085,EBU52140.1,80.645,31,6,0,1,31,59,89,2.36e-09,52.8,83.87
AMP_0085,ECI50267.1,70.968,31,9,0,1,31,56,86,1.03e-08,51.2,83.87
AMP_0085,SVA69110.1,70.968,31,9,0,1,31,19,49,1.40e-07,47.4,77.42
AMP_0085,EBG22252.1,74.194,31,8,0,1,31,110,140,2.85e-07,48.5,80.65
AMP_0085,SVE40711.1,74.194,31,8,0,1,31,35,65,2.87e-07,47.4,87.1
AMP_0085,ECA30446.1,70.968,31,9,0,1,31,23,53,4.59e-07,46.2,74.19
AMP_0085,ECI22086.1,68,25,8,0,1,25,56,80,2.18e-04,39.7,80
AMP_0085,VAW73173.1,72.727,22,6,0,10,31,42,63,0.007,35.8,81.82
AMP_0090,ECL50169.1,69.565,23,7,0,1,23,2,24,0.003,37.4,78.26
AMP_0090,EDH37071.1,69.565,23,7,0,1,23,2,24,0.006,37,78.26
AMP_0090,ECY10894.1,65.217,23,8,0,1,23,13,35,0.011,36.6,82.61
AMP_0090,EBQ74600.1,65.217,23,8,0,1,23,28,50,0.014,36.2,82.61
AMP_0090,ECH43330.1,60.87,23,9,0,1,23,1,23,0.021,34.7,86.96
AMP_0090,EDI66843.1,65.217,23,8,0,1,23,28,50,0.022,35.4,82.61
AMP_0090,EBP30461.1,64,25,9,0,1,25,7,31,0.031,35,80
AMP_0095,CAB4765477.1,60.714,28,11,0,1,28,10,37,0.032,33.1,71.43
AMP_0097,MNC54461.1,61.111,36,10,1,6,41,50,81,0.004,38.1,69.44
AMP_0097,MNE71052.1,61.111,36,10,1,6,41,50,81,0.005,37.7,69.44
AMP_0097,SVA64660.1,64.286,28,10,0,1,28,37,64,0.02,35,75
AMP_0097,MNN58390.1,55.263,38,17,0,6,43,50,87,0.033,35,65.79
AMP_0106,MNG08340.1,66.667,45,15,0,1,45,50,94,1.26e-10,57.4,80
AMP_0106,MNE71052.1,64.444,45,16,0,1,45,50,94,5.92e-08,50.4,71.11
AMP_0106,MNJ56419.1,64.444,45,16,0,1,45,50,94,1.85e-07,49.3,73.33
AMP_0106,MNN58390.1,65.854,41,14,0,1,41,50,90,2.26e-07,48.5,73.17
AMP_0106,MNC54461.1,64.444,45,16,0,1,45,50,94,4.82e-07,48.1,71.11
AMP_0106,MNI64648.1,63.636,33,12,0,1,33,50,82,0.006,37,72.73
AMP_0106,SUZ47320.1,66.667,30,10,0,1,30,3,32,0.02,34.7,70
AMP_0106,SVC53184.1,64.286,28,10,0,1,28,17,44,0.032,34.3,75
AMP_0107,GAJ12680.1,97.561,41,1,0,1,41,62,102,1.49e-21,84.3,97.56
AMP_0111,CUR60770.1,88,25,3,0,1,25,519,543,1.11e-08,53.5,96
AMP_0111,CAN5133918.1,88,25,3,0,1,25,516,540,1.51e-08,53.1,92
AMP_0111,CAN5163526.1,88,25,3,0,1,25,519,543,2.74e-08,52.4,92
AMP_0111,CAN5820338.1,80,25,5,0,1,25,508,532,6.24e-08,51.2,96
AMP_0111,CAB4932191.1,84,25,4,0,1,25,511,535,6.74e-08,51.2,92
AMP_0111,MPM61829.1,80,25,5,0,1,25,356,380,6.88e-08,51.2,96
AMP_0111,CAN5646490.1,80,25,5,0,1,25,501,525,1.02e-07,50.4,92
AMP_0111,CAN5488410.1,84,25,4,0,1,25,516,540,1.63e-07,50.1,88
